Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
69517.00,1059.54,429.84,206.83,70493.00,297.51,0.88,0.99,0.66,0.78,2.08,0.69,aaaeraaaevelik
66702.00,1029.56,420.90,203.12,67399.00,291.42,0.88,0.99,0.71,0.79,2.07,0.69,aaaeraaaevelik
78870.00,1081.04,430.04,234.20,79424.00,316.89,0.84,0.99,0.71,0.85,1.84,0.74,aaaeraaaevelik
73550.00,1076.14,436.65,215.15,74475.00,306.02,0.87,0.99,0.75,0.80,2.03,0.70,aaaeraaaevelik
70285.00,1038.97,397.30,227.08,71505.00,299.15,0.82,0.98,0.69,0.82,1.75,0.75,aaaeraaaevelik
68243.00,1011.25,404.42,215.33,68741.00,294.77,0.85,0.99,0.75,0.84,1.88,0.73,aaaeraaaevelik
64811.00,964.38,359.90,230.14,65426.00,287.26,0.77,0.99,0.76,0.88,1.56,0.80,aaaeraaaevelik
102377.00,1230.44,477.37,274.24,103258.00,361.04,0.82,0.99,0.74,0.85,1.74,0.76,aaaeraaaevelik
91385.00,1190.49,485.55,242.13,92490.00,341.11,0.87,0.99,0.72,0.81,2.01,0.70,aaaeraaaevelik
70222.00,1025.28,402.12,223.10,70779.00,299.01,0.83,0.99,0.70,0.84,1.80,0.74,aaaeraaaevelik
85946.00,1121.27,420.85,261.71,87047.00,330.80,0.78,0.99,0.74,0.86,1.61,0.79,aaaeraaaevelik
93924.00,1172.49,450.54,266.23,94692.00,345.81,0.81,0.99,0.73,0.86,1.69,0.77,aaaeraaaevelik
75710.00,1043.53,395.51,244.55,76522.00,310.48,0.79,0.99,0.74,0.87,1.62,0.79,aaaeraaaevelik
73382.00,1018.71,389.05,240.67,73955.00,305.67,0.79,0.99,0.76,0.89,1.62,0.79,aaaeraaaevelik
96935.00,1201.90,449.52,276.21,98071.00,351.31,0.79,0.99,0.71,0.84,1.63,0.78,aaaeraaaevelik
72138.00,1048.20,412.07,223.87,72927.00,303.07,0.84,0.99,0.70,0.83,1.84,0.74,aaaeraaaevelik
82132.00,1146.16,460.81,228.73,83126.00,323.38,0.87,0.99,0.64,0.79,2.01,0.70,aaaeraaaevelik
76325.00,1076.07,420.29,232.43,77189.00,311.74,0.83,0.99,0.73,0.83,1.81,0.74,aaaeraaaevelik
77691.00,1079.67,412.64,240.93,78673.00,314.51,0.81,0.99,0.68,0.84,1.71,0.76,aaaeraaaevelik
82306.00,1059.11,390.55,268.91,82826.00,323.72,0.73,0.99,0.73,0.92,1.45,0.83,aaaeraaaevelik
66789.00,1017.28,405.31,210.46,67514.00,291.61,0.85,0.99,0.74,0.81,1.93,0.72,aaaeraaaevelik
80137.00,1124.14,454.46,225.13,80936.00,319.43,0.87,0.99,0.66,0.80,2.02,0.70,aaaeraaaevelik
70041.00,1017.78,392.87,230.24,70789.00,298.63,0.81,0.99,0.73,0.85,1.71,0.76,aaaeraaaevelik
85039.00,1130.27,433.73,250.86,85907.00,329.05,0.82,0.99,0.70,0.84,1.73,0.76,aaaeraaaevelik
98441.00,1249.00,489.51,257.69,99561.00,354.03,0.85,0.99,0.69,0.79,1.90,0.72,aaaeraaaevelik
91282.00,1171.05,427.74,273.20,93122.00,340.92,0.77,0.98,0.71,0.84,1.57,0.80,aaaeraaaevelik
73346.00,1076.34,418.79,224.63,74449.00,305.59,0.84,0.99,0.64,0.80,1.86,0.73,aaaeraaaevelik
89332.00,1199.71,471.98,241.52,90457.00,337.26,0.86,0.99,0.75,0.78,1.95,0.71,aaaeraaaevelik
75040.00,1139.51,449.80,215.94,76482.00,309.10,0.88,0.98,0.60,0.73,2.08,0.69,aaaeraaaevelik
78532.00,1123.85,432.72,232.20,79455.00,316.21,0.84,0.99,0.70,0.78,1.86,0.73,aaaeraaaevelik
96211.00,1169.30,418.72,293.49,97138.00,350.00,0.71,0.99,0.75,0.88,1.43,0.84,aaaeraaaevelik
79102.00,1120.31,430.87,234.46,79999.00,317.36,0.84,0.99,0.67,0.79,1.84,0.74,aaaeraaaevelik
80920.00,1171.65,397.45,262.35,82943.00,320.98,0.75,0.98,0.73,0.74,1.52,0.81,aaaeraaaevelik
65386.00,1017.98,389.28,217.03,66640.00,288.53,0.83,0.98,0.75,0.79,1.79,0.74,aaaeraaaevelik
92816.00,1229.79,472.87,252.04,93938.00,343.77,0.85,0.99,0.71,0.77,1.88,0.73,aaaeraaaevelik
88903.00,1208.56,476.11,239.01,89984.00,336.44,0.86,0.99,0.68,0.76,1.99,0.71,aaaeraaaevelik
74959.00,1059.48,399.99,239.65,75668.00,308.93,0.80,0.99,0.74,0.84,1.67,0.77,aaaeraaaevelik
60145.00,938.70,357.57,214.62,60824.00,276.73,0.80,0.99,0.68,0.86,1.67,0.77,aaaeraaaevelik
94019.00,1215.14,470.82,255.62,95889.00,345.99,0.84,0.98,0.75,0.80,1.84,0.73,aaaeraaaevelik
71623.00,1086.45,431.66,214.32,72709.00,301.98,0.87,0.99,0.73,0.76,2.01,0.70,aaaeraaaevelik
68575.00,1013.01,376.12,233.58,69321.00,295.49,0.78,0.99,0.70,0.84,1.61,0.79,aaaeraaaevelik
88037.00,1143.45,428.99,262.15,88881.00,334.80,0.79,0.99,0.73,0.85,1.64,0.78,aaaeraaaevelik
76709.00,1086.64,426.93,229.93,77379.00,312.52,0.84,0.99,0.73,0.82,1.86,0.73,aaaeraaaevelik
75307.00,1079.81,421.51,228.32,76138.00,309.65,0.84,0.99,0.67,0.81,1.85,0.73,aaaeraaaevelik
81357.00,1092.36,411.25,252.76,82145.00,321.85,0.79,0.99,0.74,0.86,1.63,0.78,aaaeraaaevelik
62211.00,968.90,369.05,215.63,63090.00,281.44,0.81,0.99,0.72,0.83,1.71,0.76,aaaeraaaevelik
68265.00,1034.97,401.94,217.65,69242.00,294.82,0.84,0.99,0.73,0.80,1.85,0.73,aaaeraaaevelik
80150.00,1130.44,447.85,228.73,80928.00,319.45,0.86,0.99,0.64,0.79,1.96,0.71,aaaeraaaevelik
82031.00,1108.32,429.89,243.29,82716.00,323.18,0.82,0.99,0.70,0.84,1.77,0.75,aaaeraaaevelik
59259.00,931.36,357.89,212.05,59858.00,274.68,0.81,0.99,0.73,0.86,1.69,0.77,aaaeraaaevelik
83446.00,1194.04,481.65,221.49,84624.00,325.96,0.89,0.99,0.69,0.74,2.17,0.68,aaaeraaaevelik
80722.00,1103.91,426.83,241.45,81479.00,320.59,0.82,0.99,0.67,0.83,1.77,0.75,aaaeraaaevelik
64073.00,1033.25,405.16,207.18,67150.00,285.62,0.86,0.95,0.70,0.75,1.96,0.71,aaaeraaaevelik
66968.00,1022.47,398.68,214.65,67989.00,292.00,0.84,0.99,0.66,0.81,1.86,0.73,aaaeraaaevelik
66523.00,1022.99,405.30,210.16,67228.00,291.03,0.86,0.99,0.75,0.80,1.93,0.72,aaaeraaaevelik
101124.00,1255.65,481.94,271.24,103164.00,358.82,0.83,0.98,0.65,0.81,1.78,0.74,aaaeraaaevelik
79149.00,1115.47,436.02,232.39,80168.00,317.45,0.85,0.99,0.64,0.80,1.88,0.73,aaaeraaaevelik
71517.00,1051.75,401.40,227.75,72424.00,301.76,0.82,0.99,0.72,0.81,1.76,0.75,aaaeraaaevelik
68860.00,1027.83,382.18,232.07,69990.00,296.10,0.79,0.98,0.72,0.82,1.65,0.77,aaaeraaaevelik
87776.00,1181.68,475.48,235.79,88795.00,334.31,0.87,0.99,0.75,0.79,2.02,0.70,aaaeraaaevelik
92175.00,1207.75,485.43,242.98,93233.00,342.58,0.87,0.99,0.72,0.79,2.00,0.71,aaaeraaaevelik
73018.00,1056.45,399.47,233.55,74076.00,304.91,0.81,0.99,0.67,0.82,1.71,0.76,aaaeraaaevelik
69718.00,1066.69,418.07,214.13,70945.00,297.94,0.86,0.98,0.72,0.77,1.95,0.71,aaaeraaaevelik
56561.00,902.59,342.32,210.80,57075.00,268.36,0.79,0.99,0.74,0.87,1.62,0.78,aaaeraaaevelik
80375.00,1112.36,433.34,238.46,81364.00,319.90,0.84,0.99,0.66,0.82,1.82,0.74,aaaeraaaevelik
67258.00,1033.49,412.80,208.32,68108.00,292.64,0.86,0.99,0.64,0.79,1.98,0.71,aaaeraaaevelik
74104.00,1067.60,401.85,237.28,75071.00,307.17,0.81,0.99,0.74,0.82,1.69,0.76,aaaeraaaevelik
81694.00,1118.85,442.77,235.84,82443.00,322.52,0.85,0.99,0.64,0.82,1.88,0.73,aaaeraaaevelik
62584.00,1017.20,345.10,233.81,64781.00,282.28,0.74,0.97,0.74,0.76,1.48,0.82,aaaeraaaevelik
70175.00,1029.92,390.87,229.49,70940.00,298.91,0.81,0.99,0.73,0.83,1.70,0.76,aaaeraaaevelik
95608.00,1217.11,475.33,257.70,96740.00,348.90,0.84,0.99,0.70,0.81,1.84,0.73,aaaeraaaevelik
99115.00,1245.19,473.80,268.46,100258.00,355.24,0.82,0.99,0.72,0.80,1.76,0.75,aaaeraaaevelik
72614.00,1077.59,412.82,226.12,73913.00,304.06,0.84,0.98,0.70,0.79,1.83,0.74,aaaeraaaevelik
84534.00,1150.80,447.58,241.22,85376.00,328.07,0.84,0.99,0.74,0.80,1.86,0.73,aaaeraaaevelik
80658.00,1135.13,441.57,232.96,81631.00,320.46,0.85,0.99,0.75,0.79,1.90,0.73,aaaeraaaevelik
82306.00,1116.46,410.75,256.24,83372.00,323.72,0.78,0.99,0.73,0.83,1.60,0.79,aaaeraaaevelik
78850.00,1107.50,402.31,252.22,79870.00,316.85,0.78,0.99,0.73,0.81,1.60,0.79,aaaeraaaevelik
83219.00,1103.07,412.34,257.67,84013.00,325.51,0.78,0.99,0.72,0.86,1.60,0.79,aaaeraaaevelik
67629.00,1043.16,394.41,219.70,69144.00,293.44,0.83,0.98,0.70,0.78,1.80,0.74,aaaeraaaevelik
99655.00,1229.16,477.44,266.76,100495.00,356.21,0.83,0.99,0.69,0.83,1.79,0.75,aaaeraaaevelik
95117.00,1205.37,477.82,254.33,95970.00,348.00,0.85,0.99,0.76,0.82,1.88,0.73,aaaeraaaevelik
98565.00,1258.45,503.94,249.91,99461.00,354.26,0.87,0.99,0.71,0.78,2.02,0.70,aaaeraaaevelik
62105.00,989.88,394.74,202.80,62653.00,281.20,0.86,0.99,0.67,0.80,1.95,0.71,aaaeraaaevelik
71757.00,1022.20,394.11,232.74,72386.00,302.26,0.81,0.99,0.69,0.86,1.69,0.77,aaaeraaaevelik
72457.00,1016.49,380.85,242.58,73000.00,303.74,0.77,0.99,0.73,0.88,1.57,0.80,aaaeraaaevelik
87484.00,1147.18,438.53,256.15,88362.00,333.75,0.81,0.99,0.72,0.84,1.71,0.76,aaaeraaaevelik
91865.00,1144.14,428.33,274.05,92776.00,342.00,0.77,0.99,0.72,0.88,1.56,0.80,aaaeraaaevelik
76259.00,1095.38,431.80,226.65,77235.00,311.60,0.85,0.99,0.71,0.80,1.91,0.72,aaaeraaaevelik
70334.00,1024.95,395.50,227.61,71376.00,299.25,0.82,0.99,0.75,0.84,1.74,0.76,aaaeraaaevelik
69309.00,1014.27,398.54,222.23,69841.00,297.06,0.83,0.99,0.68,0.85,1.79,0.75,aaaeraaaevelik
96856.00,1208.21,457.75,271.20,98253.00,351.17,0.81,0.99,0.70,0.83,1.69,0.77,aaaeraaaevelik
107244.00,1239.76,474.80,288.57,108061.00,369.52,0.79,0.99,0.74,0.88,1.65,0.78,aaaeraaaevelik
78250.00,1102.29,443.00,225.71,78959.00,315.64,0.86,0.99,0.75,0.81,1.96,0.71,aaaeraaaevelik
78571.00,1144.29,422.14,239.19,80655.00,316.29,0.82,0.97,0.67,0.75,1.76,0.75,aaaeraaaevelik
81547.00,1119.85,442.01,236.77,82559.00,322.22,0.84,0.99,0.63,0.82,1.87,0.73,aaaeraaaevelik
93985.00,1231.82,485.72,249.00,95250.00,345.93,0.86,0.99,0.61,0.78,1.95,0.71,aaaeraaaevelik
78244.00,1064.82,401.95,249.15,78950.00,315.63,0.78,0.99,0.72,0.87,1.61,0.79,aaaeraaaevelik
72684.00,1061.56,420.49,221.38,73535.00,304.21,0.85,0.99,0.73,0.81,1.90,0.72,aaaeraaaevelik
69852.00,1024.85,409.47,218.10,70369.00,298.23,0.85,0.99,0.67,0.84,1.88,0.73,aaaeraaaevelik
89976.00,1171.01,466.95,246.76,91107.00,338.47,0.85,0.99,0.71,0.82,1.89,0.72,aaaeraaaevelik
70023.00,1023.40,391.86,230.01,70867.00,298.59,0.81,0.99,0.73,0.84,1.70,0.76,aaaeraaaevelik
74744.00,1052.63,417.33,228.90,75366.00,308.49,0.84,0.99,0.72,0.85,1.82,0.74,aaaeraaaevelik
79451.00,1084.96,424.14,239.30,80278.00,318.06,0.83,0.99,0.76,0.85,1.77,0.75,aaaeraaaevelik
98111.00,1204.97,473.53,264.33,98851.00,353.44,0.83,0.99,0.68,0.85,1.79,0.75,aaaeraaaevelik
67582.00,1022.18,414.33,209.19,68201.00,293.34,0.86,0.99,0.67,0.81,1.98,0.71,aaaeraaaevelik
73537.00,1056.60,415.18,227.11,74374.00,305.99,0.84,0.99,0.66,0.83,1.83,0.74,aaaeraaaevelik
71109.00,1023.38,402.99,224.96,71694.00,300.90,0.83,0.99,0.67,0.85,1.79,0.75,aaaeraaaevelik
81463.00,1099.85,439.67,236.40,81993.00,322.06,0.84,0.99,0.74,0.85,1.86,0.73,aaaeraaaevelik
89806.00,1172.28,466.53,245.86,90579.00,338.15,0.85,0.99,0.75,0.82,1.90,0.72,aaaeraaaevelik
64809.00,1003.58,402.37,206.26,65578.00,287.26,0.86,0.99,0.64,0.81,1.95,0.71,aaaeraaaevelik
73692.00,1047.38,411.49,229.09,74317.00,306.31,0.83,0.99,0.72,0.84,1.80,0.74,aaaeraaaevelik
90239.00,1298.35,538.02,217.97,92604.00,338.96,0.91,0.97,0.51,0.67,2.47,0.63,aaaeraaaevelik
76863.00,1069.73,419.08,235.38,77515.00,312.83,0.83,0.99,0.74,0.84,1.78,0.75,aaaeraaaevelik
95497.00,1199.38,472.53,258.67,96748.00,348.70,0.84,0.99,0.74,0.83,1.83,0.74,aaaeraaaevelik
64916.00,960.74,373.53,221.43,65373.00,287.50,0.81,0.99,0.74,0.88,1.69,0.77,aaaeraaaevelik
68772.00,1047.82,423.80,208.84,69678.00,295.91,0.87,0.99,0.67,0.79,2.03,0.70,aaaeraaaevelik
76888.00,1096.99,441.49,222.58,77743.00,312.88,0.86,0.99,0.64,0.80,1.98,0.71,aaaeraaaevelik
84397.00,1203.64,483.52,223.64,85408.00,327.81,0.89,0.99,0.59,0.73,2.16,0.68,aaaeraaaevelik
68693.00,1018.10,404.33,217.32,69334.00,295.74,0.84,0.99,0.74,0.83,1.86,0.73,aaaeraaaevelik
68426.00,966.05,353.36,247.15,68894.00,295.17,0.71,0.99,0.74,0.92,1.43,0.84,aaaeraaaevelik
72508.00,1032.43,404.15,229.04,73094.00,303.84,0.82,0.99,0.66,0.85,1.76,0.75,aaaeraaaevelik
86168.00,1115.21,429.11,256.36,86770.00,331.23,0.80,0.99,0.74,0.87,1.67,0.77,aaaeraaaevelik
93734.00,1149.49,436.63,273.93,94548.00,345.46,0.78,0.99,0.74,0.89,1.59,0.79,aaaeraaaevelik
81702.00,1132.45,446.18,234.84,83070.00,322.53,0.85,0.98,0.67,0.80,1.90,0.72,aaaeraaaevelik
67828.00,995.11,389.20,222.44,68429.00,293.87,0.82,0.99,0.68,0.86,1.75,0.76,aaaeraaaevelik
70565.00,1046.16,418.00,216.54,71390.00,299.74,0.86,0.99,0.71,0.81,1.93,0.72,aaaeraaaevelik
97902.00,1233.71,491.14,254.80,99020.00,353.06,0.85,0.99,0.78,0.81,1.93,0.72,aaaeraaaevelik
58698.00,943.08,366.40,206.29,59542.00,273.38,0.83,0.99,0.72,0.83,1.78,0.75,aaaeraaaevelik
74559.00,1029.47,391.78,243.18,75040.00,308.11,0.78,0.99,0.73,0.88,1.61,0.79,aaaeraaaevelik
83655.00,1125.23,439.89,242.90,84527.00,326.36,0.83,0.99,0.69,0.83,1.81,0.74,aaaeraaaevelik
103683.00,1239.77,476.67,277.52,104708.00,363.34,0.81,0.99,0.68,0.85,1.72,0.76,aaaeraaaevelik
87913.00,1169.89,445.64,252.99,89481.00,334.57,0.82,0.98,0.74,0.81,1.76,0.75,aaaeraaaevelik
69069.00,986.68,371.60,237.00,69623.00,296.55,0.77,0.99,0.74,0.89,1.57,0.80,aaaeraaaevelik
73827.00,1077.45,430.56,219.47,74631.00,306.59,0.86,0.99,0.73,0.80,1.96,0.71,aaaeraaaevelik
95554.00,1186.90,450.77,270.65,96491.00,348.80,0.80,0.99,0.74,0.85,1.67,0.77,aaaeraaaevelik
65593.00,975.95,376.79,222.44,66217.00,288.99,0.81,0.99,0.76,0.87,1.69,0.77,aaaeraaaevelik
87034.00,1121.45,418.23,266.72,88121.00,332.89,0.77,0.99,0.70,0.87,1.57,0.80,aaaeraaaevelik
80452.00,1120.10,451.05,227.33,81194.00,320.05,0.86,0.99,0.75,0.81,1.98,0.71,aaaeraaaevelik
71614.00,1036.48,405.57,226.02,72260.00,301.96,0.83,0.99,0.69,0.84,1.79,0.74,aaaeraaaevelik
95740.00,1186.06,451.54,271.40,96724.00,349.14,0.80,0.99,0.72,0.86,1.66,0.77,aaaeraaaevelik
66900.00,1005.95,391.00,218.63,67516.00,291.86,0.83,0.99,0.71,0.83,1.79,0.75,aaaeraaaevelik
94954.00,1210.98,474.38,257.00,96121.00,347.71,0.84,0.99,0.72,0.81,1.85,0.73,aaaeraaaevelik
99109.00,1222.61,489.28,258.13,99840.00,355.23,0.85,0.99,0.70,0.83,1.90,0.73,aaaeraaaevelik
81555.00,1110.58,437.13,239.02,82508.00,322.24,0.84,0.99,0.66,0.83,1.83,0.74,aaaeraaaevelik
64088.00,951.71,357.68,229.85,64658.00,285.66,0.77,0.99,0.74,0.89,1.56,0.80,aaaeraaaevelik
66300.00,1115.09,374.07,227.99,67574.00,290.54,0.79,0.98,0.74,0.67,1.64,0.78,aaaeraaaevelik
75406.00,1078.60,433.84,223.02,76149.00,309.85,0.86,0.99,0.62,0.81,1.95,0.71,aaaeraaaevelik
